Date,Month,Year,Day of Week,Site,Time,Type of Incident,Officer Reporting,Hour
1,February,2016,Monday,B,0:45,Eviction - Compliant,RK,0
1,February,2016,Monday,T,0:42,Eviction - Compliant,MH,0
1,February,2016,Monday,J,23:45,Theft,DH,23
1,January,2016,Friday,T,1:55,Misc,AF,1
1,January,2016,Friday,J,2:30,Prevention of Theft,AE,2
1,July,2016,Friday,T,23:50,Vandalism / Property Damage,JL,23
1,June,2016,Wednesday,J,22:43,Access Control,KR,22
1,March,2016,Tuesday,T,22:19,Parking Lot Occurrence,JL,22
1,May,2016,Sunday,J,0:33,Prevention of Theft,CS,0
1,May,2016,Sunday,J,0:40,OH&S Hazard,CS,0
2,April,2016,Saturday,CW,23:54,Theft,BP,23
2,April,2016,Friday,B,0:41,Theft,RK,0
2,February,2016,Tuesday,T,4:58,Eviction - Compliant,MH,4
2,February,2016,Tuesday,J,23:20,Eviction - Compliant,AA,23
2,January,2016,Saturday,J,1:04,Suspicious Person,AE,1
2,January,2016,Saturday,J,2:00,OH&S Hazard,AE,2
2,July,2016,Saturday,CD,2:40,Lost & Found / Abandonned Merch,RK,2
2,June,2016,Thursday,T,0:31,Theft,JL,0
2,June,2016,Thursday,CW,0:48,Eviction - Noncomp.,TF,0
2,May,2016,Monday,T,5:50,OH&S Hazard,AF,5
2,May,2016,Monday,CD,23:10,Infraction of Rules,RK,23
3,April,2016,Sunday,CW,23:57,Theft,BP,23
3,February,2016,Wednesday,J,0:14,Access Control,DH,0
3,January,2016,Sunday,J,0:32,Maintenance Required,AE,0
3,January,2016,Sunday,J,4:09,Vandalism / Property Damage,AE,4
3,July,2016,Sunday,T,1:55,Suspicious Person,VV,1
3,June,2016,Friday,CD,23:20,OH&S Hazard,DM,23
3,March,2016,Sunday,CW,23:35,Parking Lot Occurrence,MH,23
3,May,2016,Tuesday,T,0:31,Infraction of Rules,JL,0
4,April,2016,Monday,CD,2:25,Suspicious Person,KR,2
4,April,2016,Monday,T,1:41,Suspicious Person,MH,1
4,April,2016,Monday,T,22:24,OH&S Hazard,MH,22
4,April,2016,Monday,CD,23:15,OH&S Hazard,ES,23
4,April,2016,Monday,T,23:45,Prevention of Theft,MH,23
4,April,2016,Monday,CD,1:05,Prevention of Theft,ES,1
4,February,2016,Thursday,J,22:00,Medical Emergency,LS,22
4,February,2016,Thursday,CW,22:04,Access Control,MH,22
4,January,2016,Monday,J,0:08,Parking Lot Occurrence,AE,0
4,July,2016,Monday,CW,22:06,Infraction of Rules,TF,22
4,July,2016,Monday,J,2:15,OH&S Hazard,KR,2
4,March,2016,Friday,T,22:50,Theft,AF,22
4,May,2016,Wednesday,CW,3:02,Suspicious Person,LM,3
4,May,2016,Wednesday,CD,23:02,Theft,RD,23
4,May,2016,Wednesday,T,23:11,Eviction - Compliant,JL,23
4,May,2016,Wednesday,T,23:13,Infraction of Rules,JL,23
5,April,2016,Tuesday,T,0:57,Infraction of Rules,JL,0
